"Spatial_Unit","Time_Step","Decrease_Pixels","Increase_Pixels"
"Prachuap Khiri Khan",2023,0,0
"Prachuap Khiri Khan",2024,0,0
"Prachuap Khiri Khan",2025,0,0
"Ranong",2015,0,0
"Ranong",2016,0,0
"Ranong",2017,0,0
"Ranong",2018,0,0
"Ranong",2019,0,0
"Ranong",2020,0,0
"Ranong",2021,0,0
"Ranong",2022,0,0
"Ranong",2023,0,0
"Ranong",2024,0,0
"Ranong",2025,0,0
"Ratchaburi",2015,0,0
"Ratchaburi",2016,0,0
"Ratchaburi",2017,0,0
"Ratchaburi",2018,0,0
"Ratchaburi",2019,0,0
"Ratchaburi",2020,0,0
"Ratchaburi",2021,0,0
"Ratchaburi",2022,0,0
"Ratchaburi",2023,0,0
"Ratchaburi",2024,0,0
"Ratchaburi",2025,0,0
"Rayong",2015,0,0
"Rayong",2016,0,0
"Rayong",2017,0,0
"Rayong",2018,0,0
"Rayong",2019,0,0
"Rayong",2020,0,0
"Rayong",2021,0,0
"Rayong",2022,0,0
"Rayong",2023,0,0
"Rayong",2024,0,0
"Rayong",2025,0,0
"Roi Et",2015,0,0
"Roi Et",2016,0,0
"Roi Et",2017,0,0
"Roi Et",2018,0,0
"Roi Et",2019,0,0
"Roi Et",2020,0,0
"Roi Et",2021,0,0
"Roi Et",2022,0,0
"Roi Et",2023,0,0
"Roi Et",2024,0,0
"Roi Et",2025,0,0
"Sa Kaeo",2015,0,0
"Sa Kaeo",2016,0,0
"Sa Kaeo",2017,0,0
"Sa Kaeo",2018,0,0
"Sa Kaeo",2019,0,0
"Sa Kaeo",2020,0,0
"Sa Kaeo",2021,0,0
"Sa Kaeo",2022,0,0
"Sa Kaeo",2023,0,0
"Sa Kaeo",2024,0,0
"Sa Kaeo",2025,0,0
"Sakon Nakhon",2015,0,0
"Sakon Nakhon",2016,0,0
"Sakon Nakhon",2017,0,0
"Sakon Nakhon",2018,0,0
"Sakon Nakhon",2019,0,0
"Sakon Nakhon",2020,0,0
"Sakon Nakhon",2021,0,0
"Sakon Nakhon",2022,0,0
"Sakon Nakhon",2023,0,0
"Sakon Nakhon",2024,0,0
"Sakon Nakhon",2025,0,0
"Samut Prakan",2015,0,0
"Samut Prakan",2016,0,0
"Samut Prakan",2017,0,0
"Samut Prakan",2018,0,0
"Samut Prakan",2019,0,0
"Samut Prakan",2020,0,0
"Samut Prakan",2021,0,0
"Samut Prakan",2022,0,0
"Samut Prakan",2023,0,0
"Samut Prakan",2024,0,0
"Samut Prakan",2025,0,0
"Samut Sakhon",2015,0,0
"Samut Sakhon",2016,0,0
"Samut Sakhon",2017,0,0
"Samut Sakhon",2018,0,0
"Samut Sakhon",2019,0,0
"Samut Sakhon",2020,0,0
"Samut Sakhon",2021,0,0
"Samut Sakhon",2022,0,0
"Samut Sakhon",2023,0,0
"Samut Sakhon",2024,0,0
"Samut Sakhon",2025,0,0
"Samut Songkhram",2015,0,0
"Samut Songkhram",2016,0,0
"Samut Songkhram",2017,0,0
"Samut Songkhram",2018,0,0
"Samut Songkhram",2019,0,0
"Samut Songkhram",2020,0,0
"Samut Songkhram",2021,0,0
"Samut Songkhram",2022,0,0
"Samut Songkhram",2023,0,0
"Samut Songkhram",2024,0,0
"Samut Songkhram",2025,0,0
"Saraburi",2015,0,0
"Saraburi",2016,0,0
"Saraburi",2017,0,0
"Saraburi",2018,0,0
"Saraburi",2019,0,0
"Saraburi",2020,0,0
"Saraburi",2021,0,0
"Saraburi",2022,0,0
"Saraburi",2023,0,0
"Saraburi",2024,0,0
"Saraburi",2025,0,0
"Satun",2015,0,0
"Satun",2016,0,0
"Satun",2017,0,0
"Satun",2018,0,0
"Satun",2019,0,0
"Satun",2020,0,0
"Satun",2021,0,0
"Satun",2022,0,0
"Satun",2023,0,0
"Satun",2024,0,0
"Satun",2025,0,0
"Si Sa Ket",2015,0,0
"Si Sa Ket",2016,0,0
"Si Sa Ket",2017,0,0
"Si Sa Ket",2018,0,0
"Si Sa Ket",2019,0,0
"Si Sa Ket",2020,0,0
"Si Sa Ket",2021,0,0
"Si Sa Ket",2022,0,0
"Si Sa Ket",2023,0,0
"Si Sa Ket",2024,0,0
"Si Sa Ket",2025,0,0
"Sing Buri",2015,0,0
"Sing Buri",2016,0,0
"Sing Buri",2017,0,0
"Sing Buri",2018,0,0
"Sing Buri",2019,0,0
"Sing Buri",2020,0,0
"Sing Buri",2021,0,0
"Sing Buri",2022,0,0
"Sing Buri",2023,0,0
"Sing Buri",2024,0,0
"Sing Buri",2025,0,0
"Songkhla",2015,0,0
"Songkhla",2016,0,0
"Songkhla",2017,0,0
"Songkhla",2018,0,0
"Songkhla",2019,0,0
"Songkhla",2020,0,0
"Songkhla",2021,0,0
"Songkhla",2022,0,0
"Songkhla",2023,0,0
"Songkhla",2024,0,0
"Songkhla",2025,0,0
"Sukhothai",2015,0,0
"Sukhothai",2016,0,0
"Sukhothai",2017,0,0
"Sukhothai",2018,0,0
"Sukhothai",2019,0,0
"Sukhothai",2020,0,0
"Sukhothai",2021,0,0
"Sukhothai",2022,0,0
"Sukhothai",2023,0,0
"Sukhothai",2024,0,0
"Sukhothai",2025,0,0
"Suphan Buri",2015,0,0
"Suphan Buri",2016,0,0
"Suphan Buri",2017,0,0
"Suphan Buri",2018,0,0
"Suphan Buri",2019,0,0
"Suphan Buri",2020,0,0
"Suphan Buri",2021,0,0
"Suphan Buri",2022,0,0
"Suphan Buri",2023,0,0
"Suphan Buri",2024,0,0
"Suphan Buri",2025,0,0
"Surat Thani",2015,0,0
"Surat Thani",2016,0,0
"Surat Thani",2017,0,0
"Surat Thani",2018,0,0
"Surat Thani",2019,0,0
"Surat Thani",2020,0,0
"Surat Thani",2021,0,0
"Surat Thani",2022,0,0
"Surat Thani",2023,0,0
"Surat Thani",2024,0,0
"Surat Thani",2025,0,0
"Surin",2015,0,0
"Surin",2016,0,0
"Surin",2017,0,0
"Surin",2018,0,0
"Surin",2019,0,0
"Surin",2020,0,0
"Surin",2021,0,0
"Surin",2022,0,0
"Surin",2023,0,0
"Surin",2024,0,0
"Surin",2025,0,0
"Tak",2015,0,0
"Tak",2016,0,0
"Tak",2017,0,0
"Tak",2018,0,0
"Tak",2019,0,0
"Tak",2020,0,0
"Tak",2021,0,0
"Tak",2022,0,0
"Tak",2023,0,0
"Tak",2024,0,0
"Tak",2025,0,0
"Trang",2015,0,0
"Trang",2016,0,0
"Trang",2017,0,0
"Trang",2018,0,0
"Trang",2019,0,0
"Trang",2020,0,0
"Trang",2021,0,0
"Trang",2022,0,0
"Trang",2023,0,0
"Trang",2024,0,0
"Trang",2025,0,0
"Trat",2015,0,0
"Trat",2016,0,0
"Trat",2017,0,0
"Trat",2018,0,0
"Trat",2019,0,0
"Trat",2020,0,0
"Trat",2021,0,0
"Trat",2022,0,0
"Trat",2023,0,0
"Trat",2024,0,0
"Trat",2025,0,0
"Ubon Ratchathani",2015,0,0
"Ubon Ratchathani",2016,0,0
"Ubon Ratchathani",2017,0,0
"Ubon Ratchathani",2018,0,0
"Ubon Ratchathani",2019,0,0
"Ubon Ratchathani",2020,0,0
"Ubon Ratchathani",2021,0,0
"Ubon Ratchathani",2022,0,0
"Ubon Ratchathani",2023,0,0
"Ubon Ratchathani",2024,0,0
"Ubon Ratchathani",2025,0,0
"Udon Thani",2015,0,0
"Udon Thani",2016,0,0
"Udon Thani",2017,0,0
"Udon Thani",2018,0,0
"Udon Thani",2019,0,0
"Udon Thani",2020,0,0
"Udon Thani",2021,0,0
"Udon Thani",2022,0,0
"Udon Thani",2023,0,0
"Udon Thani",2024,0,0
"Udon Thani",2025,0,0
"Uthai Thani",2015,0,0
"Uthai Thani",2016,0,0
"Uthai Thani",2017,0,0
"Uthai Thani",2018,0,0
"Uthai Thani",2019,0,0
"Uthai Thani",2020,0,0
"Uthai Thani",2021,0,0
"Uthai Thani",2022,0,0
"Uthai Thani",2023,0,0
"Uthai Thani",2024,0,0
"Uthai Thani",2025,0,0
"Uttaradit",2015,0,0
"Uttaradit",2016,0,0
"Uttaradit",2017,0,0
"Uttaradit",2018,0,0
"Uttaradit",2019,0,0
"Uttaradit",2020,0,0
"Uttaradit",2021,0,0
"Uttaradit",2022,0,0
"Uttaradit",2023,0,0
"Uttaradit",2024,0,0
"Uttaradit",2025,0,0
"Yala",2015,0,0
"Yala",2016,0,0
"Yala",2017,0,0
"Yala",2018,0,0
"Yala",2019,0,0
"Yala",2020,0,0
"Yala",2021,0,0
"Yala",2022,0,0
"Yala",2023,0,0
"Yala",2024,0,0
"Yala",2025,0,0
"Yasothon",2015,0,0
"Yasothon",2016,0,0
"Yasothon",2017,0,0
"Yasothon",2018,0,0
"Yasothon",2019,0,0
"Yasothon",2020,0,0
"Yasothon",2021,0,0
"Yasothon",2022,0,0
"Yasothon",2023,0,0
"Yasothon",2024,0,0
"Yasothon",2025,0,0
